codigo;assunto;departamento;visibilidade;pergunta_referencia;status_modelo;dados_reais_confirmados;fonte_do_hotel;responsavel_do_hotel;data_conferencia;revisao_publicada;resultado_teste_real;observacoes
POL-00;Apresentação e boas-vindas;recepcao;guest;Olá;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-01;Identidade do hotel;recepcao;guest;Onde fica o resort?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-02;Autoridade e limites da assistente;gerencia;internal;Pode aprovar um upgrade para mim?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-03;Atendimento e continuidade entre equipes;recepcao;internal;Prefiro falar com uma pessoa.;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-04;Check-in e check-out padrão;recepcao;guest;Quais são os horários de entrada e saída?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-05;Identificação e coleta mínima de dados;recepcao;internal;Esqueci a chave, pode liberar meu quarto?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-06;Categorias e características das acomodações;reservas;guest;Minha categoria tem varanda?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-07;Wi-Fi e suporte de conexão;ti;guest;Como conecto o Wi-Fi?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-08;Café da manhã;alimentos_bebidas;guest;Até que horas vai o café da manhã?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-09;Restaurantes e acesso às refeições;alimentos_bebidas;guest;Todos os restaurantes estão incluídos?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-10;Alergias e intolerâncias alimentares;alimentos_bebidas;guest;Tenho alergia a amendoim, o que posso comer?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-11;Room service e entrega no quarto;alimentos_bebidas;guest;Posso pedir jantar no quarto?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-12;Piscinas e horários;recreacao;guest;Qual piscina posso usar com crianças?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-13;Praia e condições do mar;recreacao;guest;Hoje é seguro entrar no mar?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-14;Aura Wellness Spa;spa;guest;Qual é o horário do spa?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-15;Academia e equipamentos;recreacao;guest;Posso usar a academia à noite?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-16;Kids Club e retirada de crianças;recreacao;guest;Quem pode buscar meu filho no Kids Club?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
POL-17;Teen Club e adolescentes;recreacao;guest;Meu filho pode participar sozinho?;"Catalogado; estrutura conferida; dados ficticios";NAO;;;;;;Revisao e aceite do hotel real pendentes.
